epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,99.9287,0.98704,0.62282,0.95923,0.86697,0.87446,0.8947,0.6334,1.10276,0.75639,1.09888,0.0011882,0.0011882,0.0011882
43,102.839,0.95032,0.61256,0.96256,0.87934,0.85281,0.89773,0.62142,1.08388,0.81138,1.09734,0.0011684,0.0011684,0.0011684
44,105.281,0.94727,0.61244,0.9467,0.89767,0.83117,0.89138,0.63578,1.07607,0.77537,1.07939,0.0011486,0.0011486,0.0011486
45,107.775,0.96445,0.61748,0.96838,0.86728,0.84869,0.88515,0.62169,1.06511,0.7674,1.07481,0.0011288,0.0011288,0.0011288
46,110.09,0.98137,0.61035,0.96275,0.82134,0.87568,0.87925,0.60215,1.07017,0.79185,1.06323,0.001109,0.001109,0.001109
47,112.299,0.96122,0.6072,0.93435,0.85768,0.83983,0.87836,0.60791,1.06663,0.77433,1.05677,0.0010892,0.0010892,0.0010892
48,114.556,0.98143,0.61378,0.96082,0.84038,0.88312,0.88495,0.62872,1.05182,0.7951,1.0449,0.0010694,0.0010694,0.0010694
49,116.778,0.97947,0.60569,0.95961,0.85565,0.85281,0.86942,0.62157,1.06676,0.78484,1.05405,0.0010496,0.0010496,0.0010496
50,119.028,0.96644,0.59432,0.94559,0.8532,0.84416,0.8705,0.60185,1.11003,0.88457,1.0875,0.0010298,0.0010298,0.0010298
51,121.261,0.93929,0.5947,0.93934,0.84648,0.8593,0.87513,0.60813,1.08243,0.83264,1.06325,0.00101,0.00101,0.00101
52,123.526,0.92347,0.57443,0.94123,0.85417,0.85281,0.88467,0.63132,1.0444,0.78246,1.05578,0.0009902,0.0009902,0.0009902
53,126.155,0.91586,0.57264,0.92049,0.89903,0.83983,0.88092,0.63136,1.04902,0.79824,1.04623,0.0009704,0.0009704,0.0009704
54,128.757,0.98417,0.60352,0.95426,0.89007,0.8412,0.87947,0.63068,1.02405,0.81415,1.04415,0.0009506,0.0009506,0.0009506
55,131.295,0.93104,0.57489,0.93254,0.87634,0.85714,0.88411,0.62893,1.05338,0.79846,1.05585,0.0009308,0.0009308,0.0009308
56,133.519,0.88126,0.54665,0.93257,0.89149,0.818,0.8705,0.60816,1.05821,0.81695,1.04522,0.000911,0.000911,0.000911
57,135.851,0.89097,0.55245,0.92404,0.8615,0.83477,0.8654,0.60352,1.07816,0.81319,1.05981,0.0008912,0.0008912,0.0008912
